Unnamed: 0,Item,Shape,Color,Stock Pcs.,Stock Wt.,Description,Cp Std,Size,Origin,Gem Type
1.0,SOV00211238,OV,Blue,1.0,2.38,Sapphire Oval 8.52x6.81x4.88MM GIA CERTIFIED:-1232884680 ORIGIN:-SRILANKA,300.0,08.52 x 06.81,,Sapp
1.0,SOV00213503,OV,Blue,1.0,5.03,Sapphire Oval 11.79x9.52,100.0,11.79 x 09.52,,Sapp
1.0,SOV00214844,OV,Blue,1.0,8.44,Sapphire Oval 13.07x10.50,100.0,13.07 x 10.50,,Sapp
1.0,SOV00215586,OV,Blue,1.0,5.86,Sapphire Oval 11.76X9.36,100.0,11.76 x 09.36,,Sapp
1.0,SOV00216571,OV,Blue,1.0,5.71,Sapphire Oval 10.67X8.51,100.0,10.67 x 08.51,,Sapp
1.0,SOV00217546,OV,Blue,1.0,5.46,Sapphire Oval 11.05X8.85,100.0,11.05 x 08.85,,Sapp
1.0,SOV00218518,OV,Blue,1.0,5.18,Sapphire Oval 10.4X8.45,100.0,10.40 x 08.45,,Sapp
1.0,SOV00219491,OV,Blue,1.0,4.91,Sapphire Oval 10.9X8.97,100.0,10.90 x 08.97,,Sapp
1.0,SOV00220469,OV,Blue,1.0,4.69,Sapphire Oval 11.39X8.67,100.0,11.39 x 08.67,,Sapp
1.0,SOV00221325,OV,Blue,1.0,3.25,Sapphire Oval 10.92X8.12,100.0,10.92 x 08.12,,Sapp
1.0,SOV00222511,OV,Blue,1.0,5.11,Sapphire Oval 10.79X8.43,100.0,10.79 x 08.43,,Sapp
1.0,SOV00223454,OV,Blue,0.0,4.54,Sapphire Oval 11.38X8.67,100.0,11.38 x 08.67,,Sapp
1.0,SOV0028230,OV,Blue,1.0,2.3,Ceylon Sapphire Oval  8.0 x 6.4,300.0,08.00 x 06.40,Ceylon,Sapp
1.0,SOV0029225,OV,Blue,1.0,2.25,Ceylon Sapphire Oval 8.3 x 6.0,300.0,08.30 x 06.00,Ceylon,Sapp
1.0,SOV0030261,OV,Blue,1.0,2.61,GIA Certified Blue Sapphire Oval 8.39x6.77x5.63,400.0,08.39 x 06.77,,Sapp
1.0,SPR00002518,PS,Blue,1.0,5.18,Ceylon Sapphire pear 14.7 x 8.8,180.0,14.70 x 08.80,Ceylon,Sapp
1.0,SPR00003482,PS,Blue,1.0,4.82,Ceylon Sapphire pear 11.2 x 8.2,300.0,11.20 x 08.20,Ceylon,Sapp
1.0,SPR00004432,PS,Blue,1.0,4.32,Sapphire pear 11.18x8.21,230.0,11.18 x 08.21,,Sapp
1.0,SPR00005250,PS,Blue,1.0,2.5,Ceylon Sapphire pear 11.5 x 6.5,77.0,11.50 x 06.50,Ceylon,Sapp
1.0,SPR00006225,PS,Blue,1.0,2.25,Ceylon Sapphire pear 10.1 x 6.4,410.0,10.10 x 06.40,Ceylon,Sapp
1.0,SPR00007221,PS,Blue,1.0,2.21,Ceylon Sapphire pear 9.3 x 6.8,300.0,09.30 x 06.80,Ceylon,Sapp
1.0,SPR00008221,PS,Blue,1.0,2.21,Sapphire pear 9.9 x 6.6,270.0,09.90 x 06.60,,Sapp
1.0,SPR00009207,PS,Blue,1.0,2.07,Sapphire pear 9.9 x 6.1,270.0,09.90 x 06.10,,Sapp
1.0,SPR00010200,PS,Blue,1.0,2.0,Sapphire pear 10.8 x 6.6,230.0,10.80 x 06.60,,Sapp
1.0,SPR00011190,PS,Blue,1.0,1.9,Sapphire pear 8.4 x 7.0,230.0,08.40 x 07.00,,Sapp
1.0,SPR00013154,PS,Blue,1.0,1.54,Sapphire pear 8.1 x 6.1,270.0,08.10 x 06.10,,Sapp
1.0,SPR00014106,PS,Blue,1.0,1.06,Ceylon Sapphire pear 6.9 x 5.4,230.0,06.90 x 05.40,Ceylon,Sapp
1.0,SPR00015857,PS,Blue,2.0,8.57,Certified Matched Pair - Madagascar Pear Shapes 10.7x8.2 | 10.7x8.3,1170.0,10.70 x 08.20 | 10.70 x 08.30,Madagascar,Sapp
1.0,SPR00016373,PS,Blue,2.0,3.73,Ceylon Sapphire Pear Shape 8.5x7.5|7.7x6.6,410.0,08.50 x 07.50 | 07.70 x 06.60,Ceylon,Sapp
1.0,SPR00017291,PS,Blue,2.0,2.91,Blue Sapphire Pear 9.0x7.0|10.0x8.0,14.0,09.00 x 07.00 | 10.00 x 08.00,,Sapp
1.0,SPR00019370,PS,Blue,2.0,3.7,Ceylon Sapphire Pear 9.0 x 7.0,230.0,09.00 x 07.00,Ceylon,Sapp
1.0,SPR00031500,PS,Blue,1.0,5.0,Sapphire Pear Shape 13.10 x 8.90,320.0,13.10 x 08.90,,Sapp
1.0,SPR00032485,PS,Blue,1.0,4.85,Sapphire Pear Shape 12.50 x 7.90,320.0,12.50 x 07.90,,Sapp
1.0,SPR00033402,PS,Blue,1.0,4.02,Sapphire Pear Shape 12.30 x 8.10,320.0,12.30 x 08.10,,Sapp
1.0,SPR00034500,PS,Blue,1.0,5.0,Sapphire Pear Shape 14.90 x 9.20                                                                                              GIA CERTIFIED REPORT NUMBER :- 6237653935,320.0,14.90 x 09.20,,Sapp
1.0,SPR00035363,PS,Blue,1.0,3.63,Sapphire Pear Shape 12.80 x 8.10,320.0,12.80 x 08.10,,Sapp
1.0,SPR00037223,PS,Blue,1.0,2.23,Sapphire Pear Shape 10.50 x 6.20,320.0,10.50 x 06.20,,Sapp
1.0,SPR00038335,PS,Blue,1.0,3.35,Sapphire Pear Shape 10.0 x 7.5,250.0,10.00 x 07.50,,Sapp
1.0,SPR00039165,PS,Blue,1.0,1.65,Sapphire Pear Shape 9.14 x 6.71,40.0,09.14 x 06.71,,Sapp
1.0,SPR00040175,PS,Blue,1.0,1.75,Sapphire Pear Shape 8.86 x 6.75,40.0,08.86 x 06.75,,Sapp
1.0,SPR00043446,PS,Blue,1.0,4.46,Sapphire pear 11.13 X 8.39,100.0,11.13 x 08.39,,Sapp
1.0,SRD00002919,D/C,Blue,1.0,9.19,Ceylon Sapphire Round D/C 12.80,400.0,12.80,Ceylon,Sapp
1.0,SRD00003603,D/C,Blue,1.0,6.03,Ceylon Sapphire Round D/C 11.03,180.0,11.03,Ceylon,Sapp
1.0,SRD00004464,D/C,Blue,1.0,4.64,Ceylon Sapphire Round D/C 9.79,700.0,09.79,Ceylon,Sapp
1.0,SRD00006441,D/C,Blue,1.0,4.41,Ceylon Sapphire D/C 10.00,300.0,10.00,Ceylon,Sapp
1.0,SRD00007426,D/C,Blue,1.0,4.26,Ceylon Sapphire Round D/C 9.40,180.0,09.40,Ceylon,Sapp
1.0,SRD00008424,D/C,Blue,1.0,4.28,Ceylon Sapphire Round D/C 9.42,1200.0,09.42,Ceylon,Sapp
1.0,SRD00010330,D/C,Blue,1.0,3.3,Ceylon Sapphire Round D/C 8.80,600.0,08.80,Ceylon,Sapp
1.0,SRD00011423,D/C,Blue,1.0,4.23,Ceylon Sapphire Round D/C 9.09,77.0,09.09,Ceylon,Sapp
1.0,SRD00013396,D/C,Blue,1.0,3.96,Ceylon Sapphire Round D/C 9.46,680.0,09.46,Ceylon,Sapp
1.0,SRD00014363,RD,Blue,1.0,3.63,Sapphire Round 9.16,270.0,09.16,,Sapp
1.0,SRD00015349,D/C,Blue,1.0,3.49,Ceylon Sapphire Rounds D/C 8.77,550.0,08.77,Ceylon,Sapp
1.0,SRD00016335,D/C,Blue,1.0,3.35,Ceylon Sapphire Round D/C 9.00,500.0,09.00,Ceylon,Sapp
1.0,SRD00017305,D/C,Blue,1.0,3.06,Ceylon Sapphire Round D/C 8.30,360.0,08.30,Ceylon,Sapp
1.0,SRD00018339,D/C,Blue,1.0,3.39,Australia Sapphire Round D/C 8.20,100.0,08.20,Australia,Sapp
1.0,SRD00019302,RD,Blue,1.0,3.02,Sapphire Round 8.17,150.0,08.17,,Sapp
1.0,SRD00020284,D/C,Blue,1.0,2.84,Australia Sapphire Round D/C 8.00,100.0,08.00,Australia,Sapp
1.0,SRD00021461,RD,Blue,2.0,4.61,Sapphire Round 7.80,210.0,07.80,,Sapp
1.0,SRD00022263,D/C,Blue,1.0,2.63,Ceylon Sapphire Round D/C 8.75,770.0,08.75,Ceylon,Sapp
1.0,SRD00023292,D/C,Blue,1.0,2.92,Ceylon Sapphire D/C 8.15,150.0,08.15,Ceylon,Sapp
1.0,SRD00024264,D/C,Blue,0.0,,Ceylon Sapphire Round D/C 8.68,900.0,08.68,Ceylon,Sapp
1.0,SRD00025271,D/C,Blue,1.0,2.71,Ceylon Sapphire Round D/C 8.06,150.0,08.06,Ceylon,Sapp
1.0,SRD00026243,D/C,Blue,1.0,2.43,Ceylon Sapphire D/C 7.50,300.0,07.50,Ceylon,Sapp
1.0,SRD00027240,RD,Blue,1.0,2.4,Sapphirehire Round 7.00,180.0,07.00,,Sapp
1.0,SRD00028239,D/C,Blue,1.0,2.39,Ceylon Sapphire Round D/C 8.00,600.0,08.00,Ceylon,Sapp
1.0,SRD00029235,D/C,Blue,1.0,2.35,Ceylon Sapphire Round D/C 8.47,77.0,08.47,Ceylon,Sapp
1.0,SRD00030228,RD,Blue,1.0,2.28,Sapphire Round 7.50,120.0,07.50,,Sapp
1.0,SRD00031233,D/C,Blue,1.0,2.33,Ceylon Sapphire Round D/C 8.24,1000.0,08.24,Ceylon,Sapp
1.0,SRD00032233,D/C,Blue,1.0,2.33,Ceylon Sapphire Round D/C 8.13,230.0,08.13,Ceylon,Sapp
1.0,SRD00033231,D/C,Blue,1.0,2.31,Ceylon Sapphire D/C 7.52 ,150.0,07.52,Ceylon,Sapp
1.0,SRD00034230,D/C,Blue,1.0,2.3,Sapphire Round D/C 7.60,500.0,07.60,,Sapp
1.0,SRD00035228,D/C,Blue,1.0,2.28,Ceylon Sapphire Round D/C 8.09,210.0,08.09,Ceylon,Sapp
1.0,SRD00036228,RD,Blue,1.0,2.28,Sapphire Round 8.15,150.0,08.15,,Sapp
1.0,SRD00037226,RD,Blue,1.0,2.26,Sapphire Round 8.08,77.0,08.08,,Sapp
1.0,SRD00038223,D/C,Blue,1.0,2.23,Ceylon Sapphire Round D/C 8.12,150.0,08.12,Ceylon,Sapp
1.0,SRD00039222,D/C,Blue,1.0,2.22,Ceylon Sapphire Round D/C 7.64,180.0,07.64,Ceylon,Sapp
1.0,SRD00040220,D/C,Blue,1.0,2.2,Ceylon Sapphire D/C 7.80,280.0,07.80,Ceylon,Sapp
1.0,SRD00041208,D/C,Blue,1.0,2.08,Ceylon Sapphire Round D/C 7.60,180.0,07.60,Ceylon,Sapp
1.0,SRD00043207,D/C,Blue,1.0,2.07,Ceylon Sapphire Round D/C 7.86,230.0,07.86,Ceylon,Sapp
1.0,SRD00045203,RD,Blue,1.0,2.03,Sapphire Round 7.64,210.0,07.64,,Sapp
1.0,SRD00046201,D/C,Blue,1.0,2.01,Ceylon Sapphire Round D/C 8.00,280.0,08.00,Ceylon,Sapp
1.0,SRD00047187,D/C,Blue,1.0,1.87,Ceylon Sapphire Round D/C 8.03,150.0,08.03,Ceylon,Sapp
1.0,SRD00049165,D/C,Blue,1.0,1.65,Ceylon Sapphire D/C 6.55,300.0,06.55,Ceylon,Sapp
1.0,SRD00050145,RD,Blue,1.0,1.45,Sapphire Round 7.00,100.0,07.00,,Sapp
1.0,SRD00052116,RD,Blue,1.0,1.16,Sapphire Round 6.40,230.0,06.40,,Sapp
1.0,SRD00053105,D/C,Blue,1.0,1.05,Ceylon Sapphire D/C 6.00,280.0,06.00,Ceylon,Sapp
1.0,SRD00055207,RD,Blue,1.0,2.07,Sapphire Round 7.13,77.0,07.13,,Sapp
1.0,SRD00058616,D/C,Blue,2.0,6.16,Ceylon Sapphire Round D/C 8.70 | 8.20,150.0,08.70 | 08.20,Ceylon,Sapp
1.0,SRD00059561,D/C,Blue,2.0,5.61,Ceylon Sapphire Round D/C 8.35,210.0,08.35,Ceylon,Sapp
1.0,SRD00060542,RD,Blue,2.0,5.42,Sapphire Round 8.23,150.0,08.23,,Sapp
1.0,SRD00062223,D/C,Blue,1.0,2.23,Ceylon Sapphire Round D/C 7.52mm,150.0,07.52,Ceylon,Sapp
1.0,SRD00063477,RD,Blue,2.0,4.77,Sapphire Round 8.00,77.0,08.00,,Sapp
1.0,SRD00065401,RD,Blue,1.0,2.02,Sapphire Round 8.00,150.0,08.00,,Sapp
1.0,SRD00067372,D/C,Blue,2.0,3.72,Ceylon Sapphire Round D/C 7.25,120.0,07.25,Ceylon,Sapp
1.0,SRD00069372,D/C,Blue,2.0,3.71,Ceylon Sapphire D/C 7.1 &6.9,300.0,07.10,Ceylon,Sapp
1.0,SRD00071368,D/C,Blue,2.0,3.68,Sapphire Round PAIR D/C 7.50MM                                                                                            GIA CERTIFIED REPORT NUMBER:- 6237653744,280.0,07.50,,Sapp
1.0,SRD00072363,RD,Blue,2.0,3.63,Ceylon Sapphire Regular Round 7.60,180.0,07.60,Ceylon,Sapp
1.0,SRD00075430,RD,Blue,2.0,4.3,Sapphire Round 7.5 | 7.7,110.0,07.50 | 07.70,,Sapp
1.0,SRD00079306,D/C,Blue,2.0,3.06,Ceylon Sapphire Matched Pair Rounds 7.00MM ,180.0,07.00,Ceylon,Sapp
1.0,SRD00082302,RD,Blue,2.0,3.02,Sapphire Round 6.50,600.0,06.50,,Sapp
1.0,SRD00086226,D/C,Blue,2.0,2.16,Ceylon Sapphire D/C 6.00,300.0,06.00,Ceylon,Sapp
1.0,SRD00088222,D/C,Blue,2.0,2.22,Ceylon Sapphire D/C 6.00,300.0,06.00,Ceylon,Sapp
1.0,SRD00092134,D/C,Blue,1.0,1.34,Ceylon Sapphire Round D/C 6.50,150.0,06.50,Ceylon,Sapp
1.0,SRD00098235,D/C,Blue,2.0,2.35,Ceylon Sapphire Round D/C 6.00,300.0,06.00,Ceylon,Sapp
1.0,SRD00111142,D/C,Blue,2.0,1.42,Ceylon Sapphire D/C 5.40,300.0,05.40,Ceylon,Sapp
1.0,SRD00114396,RD,Blue,2.0,2.49,Sapphire Round 7.65,180.0,07.65,,Sapp
1.0,SRD00118837,RD,Blue,2.0,8.37,Sapphire Round 9.50,77.0,09.50,,Sapp
1.0,SRD00119778,D/C,Blue,2.0,7.78,Australia Sapphire Round D/C 9.00,77.0,09.00,Australia,Sapp
1.0,SRD00120679,D/C,Blue,2.0,6.79,Australia Sapphire Round D/C 8.50,77.0,08.50,Australia,Sapp
1.0,SRD00121630,D/C,Blue,2.0,6.3,Australia Sapphire Round D/C 8.50,77.0,08.50,Australia,Sapp
1.0,SRD00122494,D/C,Blue,2.0,4.94,Australia Sapphire Round D/C 8.30,77.0,08.30,Australia,Sapp
1.0,SRD00123572,D/C,Blue,2.0,5.72,Australia Sapphire Round D/C 8.00,77.0,08.00,Australia,Sapp
1.0,SRD00124595,D/C,Blue,2.0,5.95,Australia Sapphire Round D/C 8.00,77.0,08.00,Australia,Sapp
1.0,SRD00125392,D/C,Blue,2.0,3.92,Australia Sapphire Round D/C 8.00,77.0,08.00,Australia,Sapp
1.0,SRD00126450,D/C,Blue,2.0,4.5,Australia Sapphire Round D/C 8.00,77.0,08.00,Australia,Sapp
1.0,SRD00127504,D/C,Blue,2.0,5.04,Australia Sapphire Round D/C 8.00,77.0,08.00,Australia,Sapp
1.0,SRD00128522,D/C,Blue,2.0,5.22,Australia Sapphire Round D/C 8.00,120.0,08.00,Australia,Sapp
1.0,SRD00129472,RD,Blue,2.0,4.72,Sapphire Round 8.00,77.0,08.00,,Sapp
1.0,SRD00130528,D/C,Blue,2.0,5.28,Australia Sapphire rond D/C 8.00,77.0,08.00,Australia,Sapp
1.0,SRD00131455,D/C,Blue,2.0,4.55,Australia Sapphire Round D/C 7.80,77.0,07.80,Australia,Sapp
1.0,SRD00132462,D/C,Blue,2.0,4.62,Australia Sapphire Round D/C 7.75,77.0,07.75,Australia,Sapp
1.0,SRD00133550,D/C,Blue,2.0,5.5,Australia Sapphire Round D/C 7.75,77.0,07.75,Australia,Sapp
1.0,SRD00134406,D/C,Blue,2.0,4.06,Australia Sapphire Round D/C 7.60,77.0,07.60,Australia,Sapp
1.0,SRD00135438,D/C,Blue,2.0,4.38,Australia Sapphire Round D/C 7.50,77.0,07.50,Australia,Sapp
1.0,SRD00138391,D/C,Blue,2.0,3.91,Australia Sapphire Round D/C 7.30,77.0,07.30,Australia,Sapp
1.0,SRD00139348,D/C,Blue,2.0,3.48,Australia Sapphire Round D/C 7.15,77.0,07.15,Australia,Sapp
1.0,SRD00140305,D/C,Blue,2.0,3.05,Australia Sapphire Round D/C 7.10,77.0,07.10,Australia,Sapp
1.0,SRD00141395,RD,Blue,2.0,3.95,Sapphire Round 7.00,77.0,07.00,,Sapp
1.0,SRD00143148,D/C,Blue,1.0,1.48,Australia Sapphire Round D/C 6.80,77.0,06.80,Australia,Sapp
1.0,SRD00144352,D/C,Blue,2.0,3.52,Australia Sapphire Round D/C 6.56,77.0,06.56,Australia,Sapp
1.0,SRD00145146,D/C,Blue,1.0,1.46,Blue Sapp D/C 6.46,210.0,06.46,,Sapp
1.0,SRD00146342,D/C,Blue,2.0,3.42,Australia Sapphire Round D/C 6.30,77.0,06.30,Australia,Sapp
1.0,SRD00149226,D/C,Blue,2.0,2.26,Australia Sapphire Round D/C 6.00,77.0,06.00,Australia,Sapp
